ID,ProvName,ProvService,ProvUndiscl,ProvSpanish,ProvStreet,ProvCity,ProvState,ProvZIP,ProvLat,ProvLong,ProvWebsite,ProvPhone,ProvEmail,ProvDescr,LastUpdate
138,Tigard UMC- Bethlehem House of Bread,GRO,FALSE,FALSE,9055 SW Locust,Tigard,OR,97223,45.44685,-122.77432,https://www.tigardumc.com/pathways/bethlehem/,503-639-3181,,Free Groceries.  HOURS: Sun: 1 pm - 3 pm; Tues: 4 pm - 6 pm; Thurs: 1 pm - 3 pm. Prepared boxes during COVID. Special appointments available upon request.,202108
139,Crossroads Food Bank,GRO,FALSE,FALSE,2407 NE 102nd Ave,Portland,OR,97220,45.5397,-122.55878,https://www.foodbanks.net/organization/1293/crossroads-food-bank/,503-257-9345,,Free Groceries.  HOURS: Tues: 11 am - 1 pm. Limited distribution only on Tuesday 11am -1pm. Drive up boxes for 200 people/families. Delivery available for those who need it.,202108
140,SVDP Christ the King,GRO,FALSE,FALSE,7414 SE Michael Dr,Milwaukie,OR,97222,45.43857,-122.587,https://ctk.cc/st-vincent-de-paul,503-235-8431,,"Free Groceries.  HOURS: Sat: 10 am - 12 pm. As of 3/23/2020, boxes will be delivered to people's cars, or left outside the door of their home. Normally this is a shopping style pantry. Call for information",202108
141,Vose Elementary Free Food Market,PRD,FALSE,FALSE,11350 SW Denney Rd.,Beaverton,OR,97008,45.46846,-122.79387,,503-282-0555,,"Free Produce.  HOURS: Wed: 11 am - 12:30 pm. Moving to 4th WED of each month starting in April 2021: April 28th, May 26th, and June 16th (moved to last week of school). Open to anyone in need of food assistance, no ID required.",202108
142,SVDP St Cecilia (Beaverton),GRO,FALSE,FALSE,5105 SW Franklin Ave,Beaverton,OR,97005,45.48252,-122.80229,https://stceciliachurch.org/st-vincent-de-paul-society,503-591-9025,,Free Groceries.  HOURS: By appointment through Care to Share. Please call (503)591-9025,202108
143,School Pantry at Mill Park (SUN/IRCO),GRO,FALSE,FALSE,1900 SE 117th Ave,Portland,OR,97216,45.50968,-122.54276,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-mill-park-sun-irco,971-340-6221,,Free Groceries.  HOURS: Tues: 2:30 pm - 4:30 pm. Open to the public. Enter at back of the school from 122nd Ave near the park. Premade bags.,202108
144,Virginia Garcia Beaverton Free Food Mrkt at Cedar Hills Park,PRD,FALSE,FALSE,2300 SW Cedar Hills Blvd,Beaverton,OR,97005,45.5024,-122.80288,,503-282-0555,,"Free Produce.  HOURS: Thurs: 2 pm - 3 pm. 1st Thursday of the month from 2:00 pm - 3:00 pm. Open to anyone in need of food assistance, no income verification required.",202108
145,Portland Adventist Community Services,GRO,FALSE,FALSE,"11020 NE Halsey St
Portland, OR 97220

Directions

11020 NE Halsey St",Portland,OR,97220,45.53301,-122.54926,http://www.pacsonline.org/pacs-food-pantry-2/,503-252-8500,,Free Groceries.  HOURS: Mon - Tues: 9 am - 11 am; Wed - Thurs: 9 am - 11 am; Fri: 9 am - 11 am,202108
146,Food Resource at Turning Point Church,GRO,FALSE,FALSE,13333 SE Rusk Rd,Milwaukie,OR,97222,45.42687,-122.60214,http://www.turningpointcares.org/serve/community-pantry/,971-409-0726,,Free Groceries.  HOURS: Mon: 6 pm - 8 pm. Premade boxes for drive through service (walk up and bicycles served similarly),202108
147,Faith Café,DIN,FALSE,FALSE,5150 SW Watson Ave,Beaverton,OR,97005,45.48232,-122.80674,https://www.faithcafeor.org/,503-617-6534,,Free Meals.  HOURS: Sun: 4 pm - 5:30 pm; Thurs: 5 pm - 6:30 pm. Serving dinner as a take-out meal as of 3/13/2020. **Open last Thursday of the month only.,202108
148,Beaverton First United Methodist Free Food Market,PRD,FALSE,FALSE,12555 SW 4th Street,Beaverton,OR,97005,45.48445,-122.80601,,503-282-0555,,"Free Produce.  HOURS: Mon: 3 pm - 5 pm; Thurs: 3 pm - 5 pm. Open second Monday and the fourth Thursday of the month 3:00-5:00 pm. Open to anyone in need of food assistance, no income verification required. Please bring your own bags.",202108
149,Bethel Congregational Church,GRO,FALSE,FALSE,5150 SW Watson,Beaverton,OR,97005,45.48232,-122.80674,https://www.bethelbeaverton.org/hunger,503-591-9025,,Free Groceries.  HOURS: Mon: 11:30 am - 12:30 pm; Wed: 6:30 pm - 7:30 pm; Thurs: 11:30 am - 12:30 pm. Now serving premade boxes. Please call Care to Share for an appointment. Care to Share service area.,202108
150,Salvation Army Clackamas Free Food Market,PRD,FALSE,FALSE,8495 SE Monterey Ave,Happy Valley,OR,97086,45.43884,-122.57605,,503-282-0555,,"Free Produce.  HOURS: Fri: 12 pm - 1 pm. 3rd Friday of every month from 12:00 p.m. - 1:00 p.m. Please bring your own bag. Open to anyone in need of food assistance, no income verification required.",202108
151,SVDP St Pius X (Cedar Mill),GRO,FALSE,FALSE,1170 NW 123rd Avenue,Portland,OR,97229,45.52838,-122.80493,https://www.stpius.org/s/svdp,503-591-9025,,Free Groceries.  HOURS: Mon: 10 am - 12 pm; Wed: 10 am - 12 pm; Fri: 10 am - 12 pm. Please call for an appointment. *Shopping style pantry,202108
152,Unity of Beaverton,GRO,FALSE,FALSE,12650 SW 5th St,Beaverton,OR,97005,45.4836,-122.8073,https://www.unityofbeaverton.org/food-pantry,503-646-3364,,Free Groceries.  HOURS: Tues - Wed: 10 am - 4 pm. *Shopping style pantry. Please bring bags and boxes!,202108
153,SVDP St Rita,GRO,FALSE,FALSE,10029 NE Prescott St,Portland,OR,97220,45.55671,-122.55945,https://foodfinder.oregonfoodbank.org/locations/svdp-st-rita,503-235-8431,,Free Groceries.  HOURS: Wed: 3 pm - 5 pm; Sat: 10 am - 12 pm. Referral from Portland Council is encouraged. Parish Boundaries: Columbia River to NE Halsey and 77th Ave. to 122nd Ave. Delivery for people with disabilities,202108
154,School Pantry at Roosevelt High School (SUN/SEI),GRO,FALSE,FALSE,6941 N Central Street,Portland,OR,97203,45.5899,-122.73868,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-roosevelt-high-school-sun-sei,360-214-4652,,Free Groceries.  HOURS: Fri: 2:30 pm - 4 pm. Open weekly to the public. Distribution takes place off of Burr St.,202108
155,St John's Food Share,GRO,FALSE,FALSE,8100 N. Lombard St.,Portland,OR,97203,45.58929,-122.74944,https://stjohnsfoodshare.org/,503-286-0750,,Free Groceries.  HOURS: Mon: 10 am - 4 pm; Fri: 10 am - 4 pm.,202108
156,Holy Trinity Food Closet,GRO,FALSE,FALSE,13715 SW Walker Rd,Beaverton,OR,97005,45.50739,-122.81827,https://h-t.org/foodcloset,503-591-9025,,"Free Groceries.  HOURS: Tues - Wed: 10 am - 12:30 pm; Fri: 10 am - 12:30 pm. Closed Wednesday, Nov 25th and Friday, November 27. Please call for appointment. Mostly premade boxes, with some option items.",202108
157,King's Cupboard,GRO,FALSE,FALSE,5501 SE Thiessen Rd,Milwaukie,OR,97267,45.41645,-122.60404,https://koklutheran.org/king-of-kings-a-church-for-those-who-are-hungry/,503-659-0990,,"Free Groceries.  HOURS: Thurs: 3 pm - 5 pm. Open 4th Thursday of the month. Open for drive through prepared boxes, everyone is asked to stay in their vehicle.",202108
158,School Pantry at Menlo Park (SUN/IRCO),GRO,FALSE,FALSE,12900 NE Glisan Street,Portland,OR,97230,45.52444,-122.53076,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-menlo-park-sun-irco,971-340-6276,,Free Groceries.  HOURS: Thurs: 2:30 pm - 4:30 pm. Pre-boxed. Enter pantry from 128th. Exit on Glisan- right turn only.,202108
159,School Pantry at Greenway Elementary (BSD),GRO,FALSE,FALSE,9150 SW Downing Dr,Beaverton,OR,97008,45.45326,-122.80193,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-greenway-elementary-bsd,503-356-2120,,"Free Groceries.  HOURS: Thurs: 2:30 pm - 3:30 pm. Weekly program open to the public. Pre-made boxes, Drive-thru.",202108
160,School Pantry at Gilbert Park (SUN/IRCO),GRO,FALSE,FALSE,13132 SE Ramona St.,Portland,OR,97236,45.47967,-122.52832,https://gp.ddouglas.k12.or.us/gilbert-park-food-pantry/,503-577-2159,,Free Groceries.  HOURS: Wed: 2 pm - 4 pm. Open to the public. Premade bags.,202108
161,School Pantry at Parkrose Middle School (SUN/IRCO),GRO,FALSE,FALSE,11800 NE Shaver,Portland,OR,97220,45.55155,-122.54114,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-parkrose-middle-school-sun-irco,503-841-9565,,Free Groceries.  HOURS: Thurs: 4:30 pm - 6:30 pm. Open to the public. Premade bags. Drive-thru and walk-up at the upper building.,202108
162,School Pantry at David Douglas High (SUN/MFS),GRO,FALSE,FALSE,1400 SE 130th Ave,Portland,OR,97233,45.51415,-122.52783,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-david-douglas-high-sun-mfs,503-232-0007,,"Free Groceries.  HOURS: Thurs: 3 pm - 5 pm. Open to the public. Pantry is on the west side of campus by the Performing Arts Theater. Google will take you to the opposite side of campus on 135th if you search ""David Douglas High School"".",202108
163,SVDP St Anthony Community Café,DIN,FALSE,FALSE,9905 SW McKenzie St,Tigard,OR,97223,45.42899,-122.77749,https://www.satigard.org/st-vincent-de-paul,503-639-4179,,Free Meals.  HOURS: Sun: 5:30 pm - 6:30 pm. To-go meals,202108
164,North Portland Health Center Free Food Market,PRD,FALSE,FALSE,9000 N Lombard St,Portland,OR,97203,45.59234,-122.7573,,503-282-0555,,Free Produce.  HOURS: Fri: 9:30 am - 11:30 am. Last Friday of the month only. Bring your own bags.,202108
165,SVDP St Anthony (Tigard),GRO,FALSE,FALSE,12630 SW Grant Ave,Tigard,OR,97223,45.42836,-122.779,https://www.satigard.org/st-vincent-de-paul,503-639-4179,,Free Groceries.  HOURS: Mon - Tues: 12 pm - 2:30 pm; Wed: 1 pm - 3 pm; Thurs: 12 pm - 2:30 pm; Sat: 10 am - 12 pm. 97223 and 97224,202108
168,Sitton Elementary School Free Food Market,PRD,FALSE,FALSE,9930 N. Smith,Portland,OR,97203,45.59992,-122.75835,,971-347-5725,,"Free Produce.  HOURS: Mon: 3 pm - 5 pm; 1st Mondays of the month. Walk-up, shopping style distribution. Distribution in parking lot at the front of the school and street parking.",202108
169,School Pantry at Shaver Elementary (SUN/IRCO),GRO,FALSE,FALSE,3701 NE 131st Place,Portland,OR,97230,45.54936,-122.52882,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-shaver-elementary-sun-irco,503-408-2892,,Free Groceries.  HOURS: Wed: 2 pm - 4 pm. Open to the public. Premade bags. Walk-up on the playground.,202108
170,Clackamas Park Friends Church Free Food Market,PRD,FALSE,FALSE,8120 SE Thiessen Rd,Milwaukie,OR,97267,45.41563,-122.57984,,503-282-0555,,"Free Produce.  HOURS: Wed: 8 am. Last Wednesday morning of the month first come first served. Open to anyone in need of food assistance, no income verification required. Please bring your own bag. Serves all locales.",202108
171,Sunset Presbyterian Church - Helping Hands,GRO,FALSE,FALSE,14986 NW Cornell Rd,Portland,OR,97229,45.52842,-122.81807,https://sunsetpres.org/outreach/local,503-591-9025,,"Free Groceries.  HOURS: Wednesdays 9:30am to 11:30am and 4pm to 6pm. Curbside pickup, limited delivery. 2 menu options, each with 3 choice items.",202108
172,SVDP St Joseph the Worker,GRO,FALSE,FALSE,2310 SE 148th Ave,Portland,OR,97233,45.50542,-122.5096,http://www.sjwchurch.com/pages/outreach/SvdP.html,503-235-8431,,Free Groceries.  HOURS: Sat: 10 am - 12 pm. Walk-in pantry. Delivery by referral.,202108
173,School Pantry at Glenfair (SUN/MFS),GRO,FALSE,FALSE,15300 NE Glisan St,Portland,OR,97230,45.52535,-122.5054,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-glenfair-sun-mfs,503-232-0007,,"Free Groceries.  HOURS: Tues: 3:30 pm - 5 pm. Open to the public. Outdoor, shopping style distribution under cover area in front parking lot.",202108
174,Karen Free Food Market,PRD,FALSE,FALSE,15525 SE Powell Blvd,Portland,OR,97236,45.49645,-122.50308,,503-282-0555,,Free Produce.  HOURS: Tues: 3:30 pm - 5:30 pm. 1st Tuesday of the month. Drive-through. Open to anyone in need of food. English/Karen/Burmese spoken on site.,202108
175,Merlo Station Free Food Market,PRD,FALSE,FALSE,2032 SW Merlo Ct.,Beaverton,OR,97006,45.50495,-122.8455,,503-746-6346,,"Free Produce.  HOURS: Thurs: 2:30 pm - 4 pm. Open the second Thursday of the month. Open to anyone in need of food assistance, no income verification required. Please bring your own bag.",202108
177,Packed With Pride,GRO,FALSE,FALSE,9000 SW Durham Road,Tigard,OR,97224,45.40237,-122.76874,https://packed-with-pride-tigard-tualatin.square.site/,,BenjaminWBowman@gmail.com,Free Groceries.  HOURS: Fri: 4 pm - 7 pm; Sat: 9 am - 12 pm.,202108
178,Cascade Vineyard Church King's Kindness Ministries,GRO,FALSE,FALSE,14460 SW 114th Ave,Tigard,OR,97224,45.41502,-122.79403,https://cascadevineyard.org/food-pantry,503-684-8225,,"Free Groceries.  HOURS: Thurs: 12 pm - 3 pm. Located behind Christ the King Lutheran Church. *Shopping style pantry. One person at a time during COVID, others wait outside for their turn to shop.",202108
179,FISH of Vancouver,GRO,FALSE,FALSE,906 Harney Street,Vancouver,WA,98660,45.62864,-122.67963,https://fishvancouver.org/,360-695-4903,,Free Groceries.  HOURS: Mon-Fri 10-2pm.,202108
181,One Life,GRO,FALSE,FALSE,1801 Daniels Street,Vancouver,WA,98660,45.63538,-122.67447,http://www.welcometoonelife.com/,360-904-1273,,Free Groceries.  HOURS: Sun: 1:30 pm - 2:30 pm.,202108
183,Tigard Covenant Church - Barb's Pantry,GRO,FALSE,FALSE,11321 SW Naeve St.,Tigard,OR,97224,45.40979,-122.79325,http://www.tigardcovenant.org/2013/09/share-your-garden-with-others/,503-639-3084,,Free Groceries.  HOURS: Tues: 9 am - 12 pm.,202108
184,Share House Hot Meals,DIN,FALSE,FALSE,1115 W 13th St,Vancouver,WA,98660,45.63093,-122.68324,https://sharevancouver.org/programs/share-hot-meals/,360-834-4181,,"Free Meals.  HOURS: M-F 8:30-9am, 1-1:30pm, 5-5:30pm and weekends 9-9:30am, 3:30-4pm",202108
185,Aloha Huber Park K8 Free Food Market,PRD,FALSE,FALSE,5000 SW 173rd Ave,Beaverton,OR,97078,45.48367,-122.85317,,503-282-0555,,"Free Produce.  HOURS: Tues: 8 am - 9 am. Temporarily operating the 2nd and 4th Tuesday of the month. Bring your own bag. Open to anyone in need of food assistance, no income verification required.",202108
186,True Life Fellowship,GRO,FALSE,FALSE,1895 NW 169th Pl,Beaverton,OR,97006,45.5339,-122.85315,https://www.tlfchurch.com/food-pantry,503-810-7426,,Free Groceries.  HOURS: Sat: 10 am - 1 pm. **Open 2nd & 4th Saturdays of the month only.,202108
187,True life Church: Samaritan's Kitchen,DIN,FALSE,FALSE,1895 NW 169th Pl,Beaverton,OR,97006,45.5339,-122.85315,https://foodfinder.oregonfoodbank.org/locations/true-life-church-samaritan-s-kitchen,503-810-7426,,Free Meals.  HOURS: Sat: 10 am - 12 pm. 2nd and 4th Saturday of the month only.,202108
188,School Pantry at Gladstone School Pantry (NWFS),GRO,FALSE,FALSE,6460 Glen Echo Ave,Gladstone,OR,97027,45.39044,-122.59692,http://gladstone.k12.or.us/gladstone-food-pantry/,503-496-3947,,Free Groceries.  HOURS: Mon: 11 am - 6:30 pm. New distribution location at Hillside Fellowship. Open to students and families of Gladstone School District at the same times as school meals distribution: Mondays 11am-1pm and 4-6:30pm,202108
189,School Pantry at Patrick Lynch Elementary (SUN/SEI),GRO,FALSE,FALSE,1546 SE 169th Pl,Portland,OR,97233,45.5114,-122.49323,https://www.csd28j.org/Page/506,503-914-7159,,Free Groceries.  HOURS: Wed: 3:30 pm - 5 pm. Open to the public. Pre-bagged groceries are available to pick up by drive-thru or walk-up at the gym doors.,202108
190,Gladstone SDA,GRO,FALSE,FALSE,8372 Cason Rd,Gladstone,OR,97027,45.39173,-122.57981,https://foodfinder.oregonfoodbank.org/locations/gladstone-sda,503-655-4968,,"Free Groceries.  HOURS: Wed: 9 am - 1 pm. Please call first to request your food box, walk-ins welcome.",202108
191,School Pantry at Alder Elementary (SUN/MFS),GRO,FALSE,FALSE,17200 SE Alder St,Portland,OR,97233,45.51657,-122.48677,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-alder-elementary-sun-mfs,503-232-0007,,"Free Groceries.  HOURS: Wed: 2:30 pm - 4 pm. Outdoor program (walk-up), shopping style.",202108
192,Food for Families,GRO,FALSE,FALSE,3505 SE 182nd Ave,Gresham,OR,97030,45.49629,-122.48268,https://www.food4families.net/,971-220-6679,,Free Groceries.  HOURS: Wed: 4 pm - 6:30 pm. Volunteers will provide premade boxes and bring out to cars.,202108
194,Tualatin School House Pantry,"GRO, PRD",FALSE,FALSE,3550 SW Borland Rd,Tualatin,OR,97062,45.37354,-122.71128,https://schoolhousepantry.org/,503-783-0721; 503-282-0555,,"Free Groceries.  HOURS: Monday 4 PM to 7 PM, Wednesday 10 AM to 1 PM, Friday 10 AM to 1 PM for curbside distribution. See www.schoolhousepantry.org Located within Rolling Hills Community Church. (Normally *Shopping style pantry.)",202108
195,Wilkes Elementary Free Food Market,PRD,FALSE,FALSE,17020 NE Wilkes Rd.,Portland,OR,97230,45.54127,-122.48833,,503-501-0922,,"Free Produce.  HOURS: Fri: 3:30 pm - 5 pm. 1st Friday of the month. Distribution at front of the school drive thru style with walk-up option, pre-boxed/bagged food. Can pick up food for additional household.
Fri: 3:30 pm - 5 pm. 1st Friday of the month. Distribution at front of the school drive thru style with walk-up option, pre-boxed/bagged food. Can pick up food for additional household.",202108
196,Aloha Church of God,GRO,FALSE,FALSE,18380 SW Kinnaman Rd,Aloha,OR,97007,45.48456,-122.86579,http://www.alohacog.org/Food%20Pantry/FoodPantry.htm,503-649-5678,,Free Groceries.  HOURS: Wed - Thurs: 1 pm - 3 pm; Sat: 10 am - 12 pm. No appointment necessary *Open every Wed & Thurs 1-3pm and the last Saturday of the month 10-12. Preparing custom boxes per shopping list. Only one food box a month. Serves all locales.,202108
197,Angels of God EFB,GRO,FALSE,FALSE,2533 NE Andresen Rd,Vancouver,WA,98661,45.641,-122.59864,https://foodfinder.oregonfoodbank.org/locations/angels-of-god-efb,360-936-5197,,Free Groceries.  HOURS: Sun 1:30-4pm and Wed 12-2:30pm (Normally Sundays & Wednesdays 12:00pm-2:30pm),202108
198,Community Kitchen (formerly Fruit Valley Food Pantry),GRO,FALSE,FALSE,1910 West Fourth Plain Blvd,Vancouver,WA,98660,45.64069,-122.69159,https://www.thekitchenwa.org/,360-693-0939,,Free Groceries.  HOURS: Tues: 12 pm - 2 pm; Thurs: 5 pm - 7 pm; Fri: 2 pm - 4 pm; Sat: 10 am - 12 pm.,202108
199,Westside Food Brigade,GRO,FALSE,FALSE,18390 SW Farmington Rd,Beaverton,OR,97007,45.47541,-122.86611,https://www.westsidecommunitychurch.com/community-resources,503-567-9517,,Free Groceries.  HOURS: Sat: 9:30 am - 11:30 am. Shopping list provided to guest and box filled and brought out to their car. Sanitize cart and crates between guests served. Delivery may be available in emergency situations.,202108
200,SnowCap,GRO,FALSE,FALSE,17805 SE Stark St,Portland,OR,97233,45.51991,-122.47993,https://www.snowcap.org/services.html,503-674-8785,,Free Groceries.  HOURS: Mon - Tues: 10 am - 2 pm; Wed - Thurs: 10 am - 2 pm; Fri: 10 am - 2 pm. Also open Mon & Wed 6-8 pm *Shopping style pantry. SnowCap is located behind UMC church on Stark.,202108
201,Santa Cruz Free Food Market,PRD,FALSE,FALSE,507 W Powell Blvd,Gresham,OR,97030,45.49832,-122.43764,,503-282-0555,,"Free Produce.  HOURS: Thurs: 10 am - 12 pm, 2nd and 4th Thursday of the month. Drive through. Open to anyone, no ID required.",202108
202,Wallace Medical Free Food Market,PRD,FALSE,FALSE,124 NE 181st Ave,Portland,OR,97230,45.52351,-122.47649,https://mywallace.org/event/free-food-market/,503-544-1466,,"Free Produce.  HOURS: Tues: 9 am - 10 am. During COVID outrbreak- TEMPORARILY RELOACTED TO ROCKWOOD SEVENTH DAY ADVENTIST - 1910 SE 182nd Ave. 4th Tuesday of every month at 9:00 a.m. Open to anyone in need of food assistance, no income verification required. Drive-thru distribution.",202108
203,SVDP Vancouver,GRO,FALSE,FALSE,2456 NE Stapleton Road,Vancouver,WA,98661,45.63985,-122.6169,https://www.svdpvancouverusa.org/14,360-694-5388,,Free Groceries.  HOURS: Mon - Tues: 9 am - 1 pm; Thurs - Fri: 9 am - 1 pm,202108
204,Clark County Adventist Community Services,GRO,FALSE,FALSE,3114 E. Fourth Plain Blvd,Vancouver,WA,98661,45.63805,-122.63785,https://clarkcountyacs.com/get-help/#get-clothes,360-695-8632,,Free Groceries.  HOURS: Mon - Tues: 9:30 am - 3 pm,202108
205,SVDP St Elizabeth Ann Seton (Aloha),GRO,FALSE,FALSE,3145 SW 192nd Ave,Aloha,OR,97006,45.49711,-122.87559,https://seas-aloha.org/svdp,503-649-5841,,"Free Groceries.  HOURS: You must make an appointment. Call between 8am - 12pm, Mon-Fri to schedule an appointment.",202108
206,Rock Creek Church EFB,GRO,FALSE,FALSE,4470 NW 185th Ave,Portland,OR,97229,45.55232,-122.86674,https://www.rockcreek.church/pantry,503-645-2525,,Free Groceries.  HOURS: Tues: 3 pm - 6 pm.,202108
207,School Pantry at Kinnaman Elementary (PTO),GRO,FALSE,FALSE,4205 SW 193rd Ave,Aloha,OR,97078,45.48934,-122.87632,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-kinnaman-elementary-pto,,,Free Groceries.  HOURS: Thurs: 10 am - 12 pm. Open 1st and 3rd Thursdays. Pre-boxed program.,202108
208,SVDP St Juan Diego,GRO,FALSE,FALSE,5995 NW 178th Ave,Portland,OR,97229,45.56243,-122.86134,https://www.stjuandiego.org/service/st-vincent-de-paul/,503-985-6046,,Free Groceries.  HOURS: Mon: 4 pm - 5:30 pm; Fri: 11 am - 12:30 pm. Volunteers will shop for guests and deliver to cars.,202108
209,East Vancouver Community Church,GRO,FALSE,FALSE,12415 SE 7th Street,Vancouver,WA,98683,45.61536,-122.54493,https://www.eastvancouvercommunitychurch.com/ministries/,360-256-2780,,Free Groceries.  HOURS: Sat: 12 pm - 3 pm; 2nd Saturday.,202108
210,Salvation Army Gresham,GRO,FALSE,FALSE,473 SE 194th Ave,Portland,OR,97233,45.51972,-122.46383,https://gresham.salvationarmy.org/gresham/family-services/,971-220-9413,,Free Groceries.  HOURS: Mon - Tues: 9 am - 12 pm; Wed - Thurs: 9 am - 12 pm.,202108
211,Salvation Army Gresham Free Food Market,PRD,FALSE,FALSE,473 SE 194th Ave,Gresham,OR,97030,45.51972,-122.46383,,503-282-0555,,"Free Produce.  HOURS: Wed: 9 am. Every 1st Wednesday of the month. Please bring your own bag. Open to anyone in need of food assistance, no income verification required.",202108
212,Davis Elementary School Free Food Market,PRD,FALSE,FALSE,19501 NE Davis Street,Portland,OR,97230,45.52387,-122.46181,,503-701-2474,,"Free Produce.  HOURS: Fri: 3:30 pm - 5 pm, 2nd Fridays of the month. Drive-thru at the front of the school (bus turnaround). Pre-boxed/bagged food.",202108
213,School Pantry at Reedville (HSD Foundation),GRO,FALSE,FALSE,2695 SW 209th Ave,Beaverton,OR,97006,45.49997,-122.89186,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-reedville-hsd-foundation,,,"Free Groceries.  HOURS: Mon: 5:30 pm - 6:30 pm. Premade boxes/bags for drive up service in the parking lot by the annex building. Open 1st and 3rd Mondays of the month, with some changes.",202108
214,School Pantry at Reynolds Middle School (SUN/Latino Network),GRO,FALSE,FALSE,1200 NE 201st Ave,Fairview,OR,97024,45.53191,-122.45354,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-reynolds-middle-school-sun-latino-network,503-283-6881,,Free Groceries.  HOURS: Fri: 3 pm - 5 pm. Open to the public. Shopping style.,202108
215,HOPE First Baptist,GRO,FALSE,FALSE,819 John Adams St,Oregon City,OR,97045,45.35735,-122.60317,http://www.1baptistchurch.org/h.o.p.e..html,503-656-3854,,Free Groceries.  HOURS: Fri: 11 am - 4 pm. Hours are approximate based on when volunteers can be ready for distribution. Usually first 3 Fridays of the month. Drive through/walk up prepared boxes with choice of meat.,202108
216,SVDP St John the Apostle,GRO,FALSE,FALSE,417 Washington St,Oregon City,OR,97045,45.35462,-122.6072,https://foodfinder.oregonfoodbank.org/locations/svdp-st-john-the-apostle,503-235-8431,,Free Groceries.  HOURS: Thurs: 3 pm - 5 pm. Offering prepared boxes.,202108
217,Martha's Pantry,GRO,FALSE,FALSE,1220 NE 68th Street,Vancouver,WA,98665,45.67159,-122.65845,https://marthaspantry.org/home,360-695-1480,,Free Groceries.  HOURS: Tues: 10 am - 1 pm; Thurs: 4 pm - 7 pm.,202108
218,Zarephath Kitchen,DIN,FALSE,FALSE,59 NW Ava Ave,Gresham,OR,97030,45.49807,-122.43726,http://www.feedeastcounty.org/,503-667-2692,,"Free Meals.  HOURS: Mon - Tues: 11 am - 1 pm; Wed: 11 am - 1 pm; Fri: 11 am - 1 pm. As of April 2020, sack lunches will be distributed instead of hot meal service.",202108
220,SVDP St Henry,GRO,FALSE,FALSE,346 NW 1st St,Gresham,OR,97030,45.49817,-122.43528,https://sthenrygresham.org/st-vincent-de-paul,503-235-8431,,"Free Groceries.  HOURS: Tues: 9:30 am - 12 pm; Sat: 9:30 am - 12 pm. Open to zip codes 97030, 97080, 97024, 97060, 97009, 97019, 97233. Open every Tuesday 1st through the 4th Saturday of the month",202108
221,Highland Elementary School Free Food Market,PRD,FALSE,FALSE,295 NE 24th St.,Gresham,OR,97030,45.5143,-122.42796,,503-501-0922,,"Free Produce.  HOURS: Wed: 3:15 pm - 5:15 pm, 2nd Wednesday of the month. Outdoor distribution on the side of school under the covered area. Drive thru style with walk-up option, pre-boxed/bagged food. May pick up food for additional household.",202108
222,New Day Family Church (Tree of Life),GRO,FALSE,FALSE,3155 SW 234th Ave Suite G,Hillsboro,OR,97123,45.49592,-122.91861,https://www.newdayv5k.org/tree-of-life-food-pantry,503-848-2420,,Free Groceries.  HOURS: Sat: 9 am - 12:30 pm. Open 2nd & 4th for drive through pickup. 9am to noon or until food is gone. Food bank entrance is at back of building.,202108
223,East County Food Pantry (prev. Fairview Comm. Food Prgrm),GRO,FALSE,FALSE,2420 NE Fairview Ave,Fairview,OR,97024,45.54075,-122.43305,https://eastcountyfoodpantry.org/,503-512-8885,,Free Groceries.  HOURS: Sat: 11 am - 1 pm.,202108
224,HOPE United Methodist Church,GRO,FALSE,FALSE,18955 South End Rd,Oregon City,OR,97045,45.33287,-122.62523,https://www.hopeoregoncity.org/locations/,503-656-3433,,Free Groceries.  HOURS: Wed: 1 pm - 4 pm.,202108
225,Salvation Army Vancouver,GRO,FALSE,FALSE,1500 NE 112th Avenue,Vancouver,WA,98684,45.63335,-122.55829,https://vancouver.salvationarmy.org/vancouver_us_west/cure-hunger/,360-448-2890,,Free Groceries.  HOURS: Mon - Tues: 10 am - 2:45 pm; Thurs - Fri: 10 am - 2:45 pm.,202108
226,HOPE First Presbyterian,GRO,FALSE,FALSE,1321 Linn Ave,Oregon City,OR,97045,45.33661,-122.60483,https://www.firstpresoc.org/helping-other-people-eat-hope-details/,503-656-7444,,"Free Groceries.  HOURS: Tues: 1 pm - 4 pm. Open for curbside food boxes. (Normally *Shopping style pantry serving zip codes 97004, 97013, 97027, 97045, 97068, 97267.)",202108
227,Wood Village Baptist Free Food Market,PRD,FALSE,FALSE,23601 NE Arata Rd,Wood Village,OR,97060,45.53509,-122.42099,https://woodvillagebaptist.org/event/fresh-food-market-program/,503-282-0555,,"Free Produce.  HOURS: Thurs: 9:30 am - 10:30 am. Last Thursday of the month. Open to anyone in need of food assistance, no ID required.",202108
